;2024;2023;2022;2021;2020;2019
Arus Kas Bersih dari Kegiatan Operasi ; 18.537.196.660.808 ; 14.911.028.297.326 ; 13.264.371.674.898 ; 14.263.407.677.434 ; 5.637.485.325.455 ; 21.327.783.779.851 
Arus Kas Bersih dari Kegiatan Investasi ;-18.536.413.896.270;-15.134.676.775.331;-13.848.919.922.316;-13.482.495.960.861;-13.482.495.960.861;-13.482.495.960.861
Arus Kas Bersih dari Kegiatan Pendanaan; 534.118.523 ; 3.347.623.351 ;-3.785.432.589; 32.238.215.858 ;-7.138.307.196; -   
Kenaikan (Penurunan) Bersih Kas dan Setara Kas; 1.316.883.061 ; (220.300.854.654); (588.333.680.007); 813.149.932.431 ;-3.846.512.882;-40.667.356.056
Kas dan Setara Kas pada Awal Periode; 32.516.548.394 ; 252.817.403.048 ; 841.151.083.055 ; 28.001.150.624 ; 31.847.663.506 ; 72.515.019.562 
Kas dan Setara Kas pada Akhir Periode; 33.833.431.455 ; 32.516.548.394 ; 252.817.403.048 ; 841.151.083.055 ; 28.001.150.624 ; 31.847.663.506 
